"","Country","Site","Transect","Rugosity","hcprod_mean","gnet","Acanthastrea","Acropora","Alveopora","Astreopora","Caulastrea","Coscinaraea","Cyphastrea","Diploastrea","Echinophyllia","Echinopora","Euphyllia","Favia","Favites","Fungia","Galaxea","Goniastrea","Goniopora","Unidentified.HC","Halomitra","Hydnophora","Leptastrea","Leptoria","Leptoseris","Lobophyllia","Merulina","Montipora","Montastrea","Mycedium","Oulophyllia","Oxypora","Pachyseris","Pavona","Pectinia","Platygyra","Plerogyra","Pocillopora","Podabacia","Porites","Psammocora","Siderastrea","Turbinaria"
"21","Singapore","Satuma",2,1.835,1.925550071,-0.448474296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.814713896,1.253405995,0,0,0,0,0,0,0,8.283378747,14.27792916,0,0,0,0,0,0,3.433242507,0,0,0,0,0,0,0,0
"22","Singapore","Satuma",3,2.171,4.666424644,1.48500051,0,0,0,0,0,0.285035629,0,0,0,0,0,0,0.285035629,0,0,5.273159145,0,0,0,0,0,0,0,1.757719715,9.216152019,0,0,0,0,0,0.997624703,0,3.087885986,1.377672209,0,0,0,1.995249406,4.32304038,0,0
"23","Singapore","Satuma",4,2.321,7.112633578,3.049810859,0,0,0,0,1.915184679,0,0,0,0,0,0,0,0,2.599179207,0,2.051983584,0,0,0,1.459188326,0,0,0,0,4.514363885,9.165526676,0,0,0,0,0,2.051983584,6.155950752,3.830369357,0,0,0,0,0,5.243958048,0
"24","Singapore","Satuma",5,1.911,5.367156407,2.700327956,1.443078568,0,0,0,1.603420631,0,0,0,0,0,0,0,0.534473544,1.175841796,2.779262427,0,0.427578835,0,0,0,0,0,0,0,15.71352218,2.030999466,0,0,0,0,0,6.948156066,3.741314805,1.763762694,0,0,1.443078568,0,0,0,0
"25","Singapore","Satuma",6,2.15,5.857275551,2.457227611,0,0,0,2.108716026,0,0,0,0,0,0,0,0,0.749765698,0,1.077788191,11.05904405,0,0,0,1.312089972,0,1.21836926,0,0,9.278350515,0,0,0,0,0.796626054,1.077788191,2.296157451,0,0,0,0,0,1.265229616,3.045923149,0,0
"26","Singapore","Semakau",1,2.777,6.407086685,3.115555111,0,0,0,0,0,0,0,0,0,0,0,0.144040331,0,0.756211739,36.37018365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40439323,0.108030248,0,0,0,0,0,0,0
"27","Singapore","Semakau",2,1.887,5.428249496,3.343804421,0,0,0,0,0,0.317965024,0,0,0,1.748807631,0.635930048,1.430842607,0,0.900900901,0,0.900900901,0,0,0,0,0,0.635930048,0,3.020667727,5.193428723,0,0,0,0,0,3.020667727,0,7.048224695,4.345521993,0,0,0,0,0,0,0
"28","Singapore","Semakau",3,2.118,2.999015437,0.677047196,0,0,0,0,3.021718602,2.313503305,0,0,0,0,0,0.566572238,0,3.257790368,0,0,2.785646837,0,0,0,0,2.927289896,0,0,0.377714825,0,0,0.755429651,0,0,0,0,0.802644004,0,0,0,0,0,0,0,0
"29","Singapore","Semakau",4,2.558,4.801252713,2.073271005,0,0,0,0,0,0,0,0,0,0,0,1.4659271,1.386687797,0,0,0,11.21236133,0,0,0,0,0,0,0,8.201267829,0,0,0,0,0,0,5.388272583,0.673534073,5.031695721,1.980982567,0,0,0,0,0,0
"30","Singapore","Semakau",5,2.272,4.112472358,1.501077119,0,0,0,1.452464789,0,0,0,0,0,0,0,0.792253521,0,1.672535211,0,0,0,0,0,3.213028169,0,0,0,0,0,0,0,0,0,0,1.144366197,0,4.313380282,1.276408451,0,0,0,0,0,0,0
"31","Singapore","Semakau",6,2.14,4.582369828,2.374935249,0,0,0,0,0,0,0,0,0,2.570093458,0,1.588785047,0.514018692,0.654205607,0.560747664,2.85046729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794392523,0,5.140186916,0,0,0,0,0,0,0,0
"32","Singapore","Sisters",1,1.981,4.047842914,1.417213319,0,0,0,0,0,0,0,0,0,0,0,0,0.706713781,0.706713781,0,0,0,0,1.362948006,0,0,0,0,0,0.95911156,0,0,0,1.110550227,0,0,0,1.362948006,0.807672892,0,0,0,7.470974255,0,0,0
"33","Singapore","Sisters",2,2.08,5.794542588,2.707685102,1.490384615,0,0,0,1.057692308,0,0,0,0,0,0,1.538461538,1.009615385,0,0.480769231,3.413461538,0,0,0,0,0.673076923,0,0,3.317307692,5.673076923,0,2.259615385,0,0.480769231,0,1.346153846,0,5.384615385,2.259615385,0,0,0.480769231,0,0,0,0
"34","Singapore","Sisters",3,2.17,3.695369541,0.880067934,0,0,0,0,0.144023044,0,0,0,0,0,0,0.864138262,0,0,0.7681229,0,0.192030725,0,0,0,0.288046087,0,0,0,0,0,0,0,1.584253481,0,1.152184349,0,1.056168987,2.976476236,0,0.624099856,0,0.672107537,4.032645223,0,0
"35","Singapore","Sisters",4,2.113,2.209133486,-0.356854273,0,0,0,0,0,0,0,0,3.499520614,4.650047939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.294343241,0,0,0,0,0,0.910834132,0,0.958772771,0,0,0,0,3.020134228,2.013422819,0,0
"36","Singapore","Sisters",5,2.297,1.929718529,-0.777055712,0,0,0,0.677200903,0,0,0,0,0,11.96388262,0,2.347629797,0,0,0,0,1.896162528,0,0,0,0,0.586907449,0,0,1.354401806,0,0,0,0,0,3.927765237,0,0,0.632054176,0,0,0,0,0,0,0
"37","Singapore","Sisters",6,1.918,1.593602085,-0.691484933,0,0,0,0,0,0,0,0,0,0,0,0.677789364,1.564129301,0,0,0,0,0,0,3.910323253,0,0,0,0,0.31282586,0,0,0,0,0,0,0,0,2.606882169,0,0,0,0,0,0,6.569343066
"38","Singapore","TPT",1,2.031,3.195665597,0.157634384,0,0,0,0,0,0,0,0,0,13.84928717,0,0.814663951,0,0.305498982,4.276985743,0,0.916496945,0,0,0,0,0.967413442,0,0,2.545824847,0,0,0,0,0,0,0,2.240325866,0,0,0,0,0,0,0,0
"39","Singapore","TPT",2,2.33,3.931185649,0.335697366,0,0,0,0,0,0,0,0,0,4.892703863,0,0,0,0,0,0,0,0.17167382,0,0,0,5.836909871,0,0,6.051502146,0,0,0,0,0,7.467811159,0.772532189,3.56223176,3.175965665,0,0,0,0,0,0,0
"40","Singapore","TPT",3,2.207,4.85158637,2.286747662,0,0,0,0,0,0,0,0,0,3.712190651,0,1.466544455,0,0,0,0.687442713,0,0,0,0,0,15.4903758,0,5.957836847,1.374885426,1.099908341,0,0,0,0.733272227,3.941338222,1.42071494,0,5.866177819,0,0,0,0,0,0,0
"41","Singapore","TPT",4,2.662,6.947948493,3.549756206,0,0,0,0,0,1.28739114,0,0,0,5.035971223,0,0.567966679,0,0,4.089360091,3.900037864,0,0,0,15.67588035,0,0,4.770920106,0,0,0,0,0,0,0,2.196137827,0,1.855357819,2.082544491,0,0,0,0,0,0,0
"42","Singapore","TPT",5,2.131,5.535099698,2.61070003,0,0,0,0,0,0,0,0,0,0,0,0.395256917,1.235177866,0,8.152173913,0,0,0,0,0,0,3.063241107,3.359683794,0,4.298418972,0,0,0,0,0,0,0,2.272727273,9.980237154,0,0,0,0,0,0,0
"43","Singapore","TPT",6,1.863,2.805200502,1.155132647,0,0,0,0,0,0,0,0,0,0,0,0.805152979,0,0,0,0,2.200751476,0,0,0,0,0,2.683843264,0.805152979,12.07729469,0,0,0,0,0,0,0,3.918411165,4.88459474,0,0,0,0,0,0,0
