,Country,Site,Transect,Rugosity,hcprod_mean,gnet,br_acro,tab_acro,br_por,poc,oth_br,mass_por,mass_oth,enc_por,enc_other,fol,mush,oth,cca_cover,sed_cover,soft_cover,mac_cover,turf_cover,rub_cover,rock_cover,lpave_cover,sand_cover,tot.bare.substrate,other_cover,numb_gen,tot_mass,tot_enc,tot_branch,tot_other,tot_cover,stress,general,weedy,comp,tgnet,v_accret,dist_port,prod_branchinf,prod_mass,prod_enc,prod_oth
14,Singapore,Kusu,1,2.633,4.11417698,1.382437094,0,0,0,0,0,1.134062373,5.62980964,0,9.437019036,0,0,6.115836371,11.52882206,1.378446115,0.720551378,6.359649123,33.95989975,9.335839599,0,0,3.665413534,13.00125313,5.827067669,4,6.763872013,9.437019036,0,6.115836371,22.31672742,9.761036858,12.55569056,0,0,1.458256134,1.04244767,13.29,0,2.10886426,0.60476168,4.11417698
15,Singapore,Kusu,2,2.531,2.382609035,-0.176411805,0,0,0,0,0,0,0,0,3.709810387,5.276174773,0,9.727947238,10.97301136,1.953125,6.889204545,18.03977273,24.57386364,9.801136364,0,0,0,9.801136364,3.267045455,8,0,3.709810387,0,15.00412201,18.7139324,0.288540808,18.42539159,0,0,1.007814901,0.886242322,13.29,0,0,0.43383842,2.38260904
16,Singapore,Kusu,3,2.204,1.422013289,-1.005809097,0,0,0,0,0.824553367,0,3.61887311,0,14.52130096,0,0,0,6.966457796,0.479174346,0,14.19093255,27.27607814,6.41356432,0,0,8.256542573,14.67010689,6.56100258,10,3.61887311,14.52130096,0.824553367,0,18.96472744,14.3838754,4.260192397,0.320659643,0,0.647213635,0.242350087,13.29,0.10658284,0.58092159,0.73450886,1.42201329
17,Singapore,Kusu,4,2.588,2.891275629,0.343380743,0,0,0,0,0.79887218,0,8.411654135,0,8.129699248,0,0,2.020676692,10.11485735,1.59318266,0.185253798,21.41533901,28.67728788,2.556502408,0,0,0,2.556502408,3.18636532,6,8.411654135,8.129699248,0.79887218,2.020676692,19.36090226,12.64097745,5.498120302,1.221804512,0,1.181543345,0.668147914,13.29,0.07633305,1.74672132,0.36642842,2.89127563
18,Singapore,Kusu,5,2.534,5.067157928,2.387247042,0,0,0,0,0,0,0.452302632,0,4.317434211,17.72203947,0,10.48519737,4.07548685,0.341296928,0,10.72073881,28.66894198,22.50552098,0,0,2.228468179,24.73398916,0.923509335,5,0.452302632,4.317434211,0,28.20723684,32.97697368,1.850328947,28.90625,2.220394736,0,1.668323046,2.201430507,13.29,0,0.13321165,0.16046775,5.06715793
19,Singapore,Kusu,6,3.041,3.715819111,0.548694799,0,0,0,6.83081811,0,0,2.859412232,0,0,0,0,1.787132645,16.94007365,0,0,3.481754268,29.6953465,10.57917643,0,0,0.770003348,11.34917978,0.93739538,16,2.859412232,0,6.83081811,1.787132645,11.47736299,2.859412233,1.389992057,0.397140588,6.830818111,1.242630309,2.024432538,13.29,2.73213775,0.51637384,0,3.71581911
20,Singapore,Satuma,1,2.332,4.013563428,-0.218861443,1.715265866,0,0,1.758147513,0,0,0,1.629502573,19.08233276,7.118353345,0,2.315608919,12.25658648,0,0,0.343642612,30.66055746,13.32569683,0,0,3.283696067,16.6093929,1.756395571,5,0,20.71183533,3.473413379,9.433962264,33.61921098,13.29331047,16.85248714,0,3.473413378,0.992198818,0.753690145,14.89,1.27267705,0,1.44845425,4.01356343
21,Singapore,Satuma,2,1.835,1.925550071,-0.448474296,0,0,0,0,0,0,0,0,24.6866485,0,0,6.376021798,14.20602454,0,0,0.595016735,36.1100781,8.40461138,0,0,2.454444031,10.85905541,2.528821123,12,0,24.6866485,0,6.376021798,31.0626703,3.814713895,23.8147139,3.433242507,0,0.903223998,0.353886413,14.89,0,0,1.35109547,1.92555007
22,Singapore,Satuma,3,2.171,4.666424644,1.48500051,0,0,0,0,0,1.995249406,4.798099762,0,6.413301663,0.997624703,0,14.39429929,9.325881942,0,0,0.558854349,29.02549773,8.767027593,0,0,1.397135871,10.16416346,6.426825009,11,6.793349168,6.413301663,0,15.39192399,28.59857482,10.6888361,14.82185273,3.087885985,0,1.481836439,1.809416034,14.89,0,1.58444557,0.2121134,4.66642464
23,Singapore,Satuma,4,2.321,7.112633578,3.049810859,0,0,0,0,0,0,4.377564979,0,25.39899681,0,2.599179207,6.611947104,9.594966575,0,0,0.471883602,28.50963429,11.67911915,0,0,1.494298073,13.17341722,4.364923319,13,4.377564979,25.39899681,0,9.211126311,38.9876881,17.69265846,15.13907889,6.155950751,0,1.786048328,1.695638313,14.89,0,1.1758568,1.72606295,7.11263358
24,Singapore,Satuma,5,1.911,5.367156407,2.700327956,0,0,0,0,0,0,3.206841261,0,17.2100481,6.948156066,1.175841796,11.06360235,8.2780164,0,0,0,40.53104256,7.731354939,0,0,0.585708708,8.317063647,4.529480672,13,3.206841261,17.2100481,0,19.18760021,39.60448957,9.299839657,26.56333511,3.741314804,0,1.725681616,2.247818836,14.89,0,0.77803508,1.02613885,5.36715641
25,Singapore,Satuma,6,2.15,5.857275551,2.457227611,0,0,0,0,1.312089972,1.265229616,13.16776007,0,10.21555764,2.389878163,0,6.935332709,1.911037891,0,0,5.041186161,41.25205931,3.459637562,0,0,1.779242175,5.238879736,5.831960461,5,14.43298969,10.21555764,1.312089972,9.325210872,35.28584817,18.46298032,16.82286785,0,0,1.681432488,1.404583822,14.89,0.12572503,3.36021061,0.6619325,5.85727555
26,Singapore,Semakau,1,2.777,6.407086685,3.115555111,0,0,0,0,0,0,0.108030248,0,0.144040331,0,0.756211739,37.77457688,0.347394541,0,0.545905707,14.98759305,36.67493797,0,0,0,5.806451613,5.806451613,8.486352357,11,0.108030248,0.144040331,0,38.53078862,38.7828592,37.37846597,0,1.40439323,0,1.797008182,2.720804277,10.08,0,0.04690281,0.00698106,6.40708669
