Site,Scen,v_accret,Lower LV,Mean,Upper LV
P. Jong,RCP 4.5,-0.038271582,-3.088271582,-5.508271582,-7.718271582
Sisters,RCP 4.5,1.607660721,-1.442339279,-3.862339279,-6.072339279
Sisters,RCP 4.5,1.423010751,-1.626989249,-4.046989249,-6.256989249
Sisters,RCP 4.5,0.848061319,-2.201938681,-4.621938681,-6.831938681
Sisters,RCP 4.5,0.433981629,-2.616018371,-5.036018371,-7.246018371
Sisters,RCP 4.5,0.35519932,-2.69480068,-5.11480068,-7.32480068
Sisters,RCP 4.5,0.470351451,-2.579648549,-4.999648549,-7.209648549
Kusu,RCP 4.5,0.801628703,-2.248371297,-4.668371297,-6.878371297
Kusu,RCP 4.5,0.484877377,-2.565122623,-4.985122623,-7.195122623
Kusu,RCP 4.5,0.00153112,-3.04846888,-5.46846888,-7.67846888
Kusu,RCP 4.5,0.427328947,-2.622671053,-5.042671053,-7.252671053
Kusu,RCP 4.5,1.800065562,-1.249934438,-3.669934438,-5.879934438
Kusu,RCP 4.5,1.462521615,-1.587478385,-4.007478385,-6.217478385
TPT,RCP 8.5,1.071824368,-3.668175632,-6.718175632,-9.658175632
TPT,RCP 8.5,1.354690626,-3.385309374,-6.435309374,-9.375309374
TPT,RCP 8.5,1.227146328,-3.512853672,-6.562853672,-9.502853672
TPT,RCP 8.5,2.960482797,-1.779517203,-4.829517203,-7.769517203
TPT,RCP 8.5,1.375824333,-3.364175667,-6.414175667,-9.354175667
TPT,RCP 8.5,1.17142741,-3.56857259,-6.61857259,-9.55857259
P. Satuma,RCP 8.5,0.486312569,-4.253687431,-7.303687431,-10.24368743
P. Satuma,RCP 8.5,0.086508838,-4.653491162,-7.703491162,-10.64349116
P. Satuma,RCP 8.5,1.363786741,-3.376213259,-6.426213259,-9.366213259
P. Satuma,RCP 8.5,1.428260737,-3.311739263,-6.361739263,-9.301739263
P. Satuma,RCP 8.5,1.802189543,-2.937810457,-5.987810457,-8.927810457
P. Satuma,RCP 8.5,1.137206246,-3.602793754,-6.652793754,-9.592793754
P. Hantu,RCP 8.5,4.484436191,-0.255563809,-3.305563809,-6.245563809
P. Hantu,RCP 8.5,0.865407664,-3.874592336,-6.924592336,-9.864592336
P. Hantu,RCP 8.5,0.7247737,-4.0152263,-7.0652263,-10.0052263
P. Hantu,RCP 8.5,0.751482886,-3.988517114,-7.038517114,-9.978517114
P. Hantu,RCP 8.5,0.359245341,-4.380754659,-7.430754659,-10.37075466
P. Hantu,RCP 8.5,1.407260024,-3.332739976,-6.382739976,-9.322739976
P. Semakau,RCP 8.5,2.647048767,-2.092951233,-5.142951233,-8.082951233
